Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-04:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20197885)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20168088)","RH, % (LGR S/N: 20169122, SEN S/N: 20168088)"
1,9/1/2017 9:19,29.9626,6.76,19.15,61.72,127.8,,2553.7,55.992,59.8
2,9/1/2017 9:29,29.9685,7.87,15.77,61.72,345.4,0,1178.7,56.728,58.6
3,9/1/2017 9:39,29.9685,9.01,19.15,61.72,346.8,0,1248.7,56.944,54.9
4,9/1/2017 9:49,29.9715,5.64,18.01,61.677,344,0,451.2,55.299,57.4
5,9/1/2017 9:59,29.9715,5.64,13.51,61.677,0,0,1356.2,58.066,53.3
6,9/1/2017 10:09,29.9744,5.64,12.39,61.72,336.9,0,1416.2,59.315,51.2
7,9/1/2017 10:19,29.9715,5.64,13.51,61.72,336.9,0,1423.7,60.046,50.4
8,9/1/2017 10:29,29.9626,5.64,15.77,61.72,331.3,0,1501.2,60.39,46.8
9,9/1/2017 10:39,29.9567,6.76,14.63,61.72,334.1,0,1521.2,60.089,46.8
10,9/1/2017 10:49,29.9567,7.87,16.89,61.72,325.7,0,1576.2,60.089,46.4
11,9/1/2017 10:59,29.9567,5.64,13.51,61.761,342.6,0,1611.2,60.991,46.7
12,9/1/2017 11:09,29.9596,9.01,16.89,61.804,349.6,0,1638.7,60.433,45.5
13,9/1/2017 11:19,29.9626,9.01,27.02,61.804,336.9,0,1663.7,60.904,43
14,9/1/2017 11:29,29.9567,7.87,15.77,61.848,325.7,0,1686.2,61.162,44.9
15,9/1/2017 11:39,29.9567,7.87,14.63,61.891,328.5,0,1703.7,62.191,42.7
16,9/1/2017 11:49,29.9596,6.76,15.77,61.934,327.1,0,1723.7,62.875,42.9
17,9/1/2017 11:59,29.9537,5.64,14.63,61.977,332.7,0,1728.7,63.262,42.9
