Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-05:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20197885)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20168088)","RH, % (LGR S/N: 20169122, SEN S/N: 20168088)"
1,12/4/2017 15:45,30.249,0,3.38,39.124,228.8,,83.7,37.035,96.1
2,12/4/2017 15:55,30.2402,0,2.26,39.124,228.8,0,46.2,36.361,96.5
3,12/4/2017 16:05,30.2343,0,0,39.173,228.8,0,31.2,35.638,96.7
4,12/4/2017 16:15,30.2313,0,0,39.22,228.8,0,13.7,34.124,96.7
5,12/4/2017 16:25,30.2313,0,0,39.267,228.8,0,3.7,33.237,96.7
6,12/4/2017 16:35,30.2343,0,0,39.267,228.8,0,1.2,32.542,96.7
7,12/4/2017 16:45,30.2343,0,0,39.313,228.8,0,1.2,32.092,96.9
8,12/4/2017 16:55,30.2372,0,0,39.313,228.8,0,1.2,32.043,97.2
9,12/4/2017 17:05,30.2372,0,0,39.313,228.8,0,1.2,32.043,97.6
10,12/4/2017 17:15,30.2372,0,1.12,39.313,228.8,0,1.2,32.641,98
11,12/4/2017 17:25,30.2372,0,1.12,39.313,228.8,0,1.2,33.287,98.3
12,12/4/2017 17:35,30.2313,0,1.12,39.313,227.4,0,1.2,33.336,98.4
13,12/4/2017 17:45,30.2284,0,0,39.313,227.4,0,1.2,33.435,98.5
14,12/4/2017 17:55,30.2284,0,1.12,39.313,228.8,0,1.2,33.386,98.8
15,12/4/2017 18:05,30.2313,0,4.5,39.313,224.6,0,1.2,33.78,99
16,12/4/2017 18:15,30.2343,1.12,4.5,39.313,223.2,0,1.2,33.681,99.3
17,12/4/2017 18:25,30.2402,0,4.5,39.313,217.6,0,1.2,33.732,99.4
18,12/4/2017 18:35,30.2372,1.12,4.5,39.267,214.8,0,1.2,33.78,99.7
19,12/4/2017 18:45,30.2372,0,3.38,39.313,213.4,0,1.2,33.78,99.7
20,12/4/2017 18:55,30.2372,0,3.38,39.267,205,0,1.2,33.78,99.7
21,12/4/2017 19:05,30.2313,0,2.26,39.267,213.4,0,1.2,33.831,99.8
22,12/4/2017 19:15,30.2343,0,3.38,39.313,213.4,0,1.2,33.732,99.8
23,12/4/2017 19:25,30.2402,0,3.38,39.313,224.6,0,1.2,33.633,99.8
24,12/4/2017 19:35,30.2372,0,2.26,39.313,217.6,0,1.2,33.879,99.9
25,12/4/2017 19:45,30.2313,1.12,4.5,39.313,207.8,0,1.2,34.371,100
26,12/4/2017 19:55,30.2284,1.12,4.5,39.313,196.5,0,1.2,34.272,99.9
27,12/4/2017 20:05,30.2313,2.26,5.64,39.313,199.4,0,1.2,34.419,100
28,12/4/2017 20:15,30.2343,1.12,4.5,39.313,205,0,1.2,34.419,100
29,12/4/2017 20:25,30.2372,1.12,4.5,39.313,192.3,0,1.2,34.32,100
30,12/4/2017 20:35,30.2343,0,3.38,39.313,207.8,0,1.2,33.879,100
31,12/4/2017 20:45,30.2402,0,2.26,39.313,217.6,0,1.2,33.978,100
32,12/4/2017 20:55,30.2431,0,2.26,39.313,219,0,1.2,34.32,100
33,12/4/2017 21:05,30.2372,1.12,4.5,39.313,186.7,0,1.2,34.957,100
34,12/4/2017 21:15,30.2313,0,3.38,39.313,200.8,0,1.2,35.103,100
35,12/4/2017 21:25,30.2284,0,1.12,39.313,206.4,0,1.2,35.2,100
36,12/4/2017 21:35,30.2254,0,1.12,39.313,207.8,0,1.2,35.298,100
37,12/4/2017 21:45,30.2254,0,2.26,39.36,212,0,1.2,35.395,100
38,12/4/2017 21:55,30.2225,0,3.38,39.36,210.6,0,1.2,35.638,100
39,12/4/2017 22:05,30.2077,0,3.38,39.36,209.2,0,1.2,35.733,100
40,12/4/2017 22:15,30.2018,0,1.12,39.36,207.8,0,1.2,35.879,100
41,12/4/2017 22:25,30.2018,0,5.64,39.36,244.3,0,1.2,36.603,100
