Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-05:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20490839)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20168088)","RH, % (LGR S/N: 20169122, SEN S/N: 20168088)"
1,11/28/2018 8:42,29.2421,0,7.87,38.653,283.6,,1653.7,38.273,70.1
2,11/28/2018 8:52,29.2421,0,6.76,38.7,314.5,0,133.7,38.606,70.1
3,11/28/2018 9:02,29.248,0,3.38,38.653,324.3,0,188.7,38.511,69.8
4,11/28/2018 9:12,29.2509,3.38,12.39,38.653,324.3,0,161.2,38.653,68.5
5,11/28/2018 9:22,29.2539,4.5,10.13,38.7,331.3,0,193.7,38.653,68.4
6,11/28/2018 9:32,29.2568,2.26,9.01,38.7,313.1,0,251.2,39.031,68.3
7,11/28/2018 9:42,29.2539,4.5,15.77,38.7,327.1,0,241.2,39.078,68.3
8,11/28/2018 9:52,29.2568,2.26,10.13,38.7,311.7,0,268.7,39.407,67.8
9,11/28/2018 10:02,29.2598,5.64,16.89,38.7,307.5,0,196.2,38.984,67.6
10,11/28/2018 10:12,29.2568,2.26,14.63,38.7,308.9,0,208.7,39.031,67.5
11,11/28/2018 10:22,29.2598,3.38,16.89,38.7,307.5,0,193.7,38.889,67.1
12,11/28/2018 10:32,29.2568,3.38,12.39,38.7,306.1,0,221.2,39.031,66.8
13,11/28/2018 10:42,29.2568,3.38,11.25,38.748,308.9,0,246.2,39.124,66.3
14,11/28/2018 10:52,29.2568,3.38,12.39,38.748,310.3,0,283.7,39.454,66.2
15,11/28/2018 11:02,29.2568,4.5,14.63,38.748,311.7,0,286.2,39.502,65.8
16,11/28/2018 11:12,29.2539,5.64,13.51,38.748,306.1,0,296.2,39.549,66
17,11/28/2018 11:22,29.2568,4.5,11.25,38.748,318.7,0,361.2,39.924,66.8
18,11/28/2018 11:32,29.2539,6.76,18.01,38.748,327.1,0,423.7,39.877,66.1
19,11/28/2018 11:42,29.2539,6.76,16.89,38.748,327.1,0,378.7,39.83,66.3
20,11/28/2018 11:52,29.2568,7.87,19.15,38.795,322.9,0,453.7,40.064,66.6
21,11/28/2018 12:02,29.2539,9.01,21.39,38.795,322.9,0,451.2,40.204,64.9
22,11/28/2018 12:12,29.2568,10.13,22.53,38.795,324.3,0,391.2,40.204,64.4
23,11/28/2018 12:22,29.2539,7.87,15.77,38.795,324.3,0,443.7,40.485,63.8
24,11/28/2018 12:32,29.2598,6.76,18.01,38.795,321.5,0,433.7,40.858,63.6
25,11/28/2018 12:42,29.2539,7.87,16.89,38.795,311.7,0,416.2,40.858,63.6
26,11/28/2018 12:52,29.2598,7.87,21.39,38.842,314.5,0,348.7,40.764,62.1
