Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-04:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20490839)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20674472, LBL: Air Temperature)","RH, % (LGR S/N: 20169122, SEN S/N: 20674472)"
1,9/15/2020 9:25,30.2372,3.38,7.87,57.636,18.3,,733.7,50.092,83.9
2,9/15/2020 9:26,30.2343,2.26,5.64,57.636,18.3,,741.2,50.445,84.2
3,9/15/2020 9:27,30.2372,4.5,6.76,57.636,21.1,,743.7,50.488,84
4,9/15/2020 9:28,30.2372,4.5,5.64,57.679,23.9,,743.7,50.445,84
5,9/15/2020 9:29,30.2372,3.38,5.64,57.679,32.3,,746.2,50.488,84
6,9/15/2020 9:30,30.2343,3.38,5.64,57.679,35.1,,761.2,50.664,84
7,9/15/2020 9:31,30.2372,3.38,5.64,57.679,22.5,,773.7,50.709,83.9
8,9/15/2020 9:32,30.2372,3.38,5.64,57.679,33.7,,781.2,50.886,83.9
9,9/15/2020 9:33,30.2313,3.38,5.64,57.679,33.7,,783.7,50.974,83.6
10,9/15/2020 9:34,30.2372,3.38,5.64,57.679,11.2,,781.2,50.841,83.4
11,9/15/2020 9:35,30.2343,3.38,5.64,57.679,23.9,,793.7,51.062,83.4
12,9/15/2020 9:36,30.2343,2.26,5.64,57.679,21.1,,788.7,51.282,83.7
13,9/15/2020 9:37,30.2343,1.12,2.26,57.722,342.6,,798.7,51.37,82.3
14,9/15/2020 9:38,30.2313,0,4.5,57.722,339.7,,818.7,51.809,82.7
15,9/15/2020 9:39,30.2313,3.38,5.64,57.722,32.3,,818.7,51.764,82.5
16,9/15/2020 9:40,30.2343,3.38,5.64,57.722,29.5,,831.2,51.895,83
17,9/15/2020 9:41,30.2372,2.26,4.5,57.722,21.1,,836.2,51.895,82.7
18,9/15/2020 9:42,30.2343,3.38,5.64,57.722,19.7,,851.2,51.809,82.3
19,9/15/2020 9:43,30.2313,3.38,6.76,57.722,28.1,,843.7,51.984,82.1
20,9/15/2020 9:44,30.2313,3.38,5.64,57.765,39.3,,843.7,52.203,81.6
21,9/15/2020 9:45,30.2313,2.26,4.5,57.765,40.7,,848.7,52.509,82.2
22,9/15/2020 9:46,30.2343,4.5,6.76,57.765,43.5,,841.2,52.466,81.2
23,9/15/2020 9:47,30.2313,3.38,6.76,57.765,25.3,,828.7,52.423,81.6
24,9/15/2020 9:48,30.2313,4.5,6.76,57.765,32.3,,843.7,52.378,81.3
25,9/15/2020 9:49,30.2313,4.5,6.76,57.765,22.5,,848.7,52.115,80.4
26,9/15/2020 9:50,30.2313,4.5,5.64,57.765,16.8,,866.2,52.029,80
27,9/15/2020 9:51,30.2284,4.5,6.76,57.807,19.7,,873.7,52.072,79.9
28,9/15/2020 9:52,30.2313,2.26,5.64,57.807,4.2,,878.7,52.029,79.9
29,9/15/2020 9:53,30.2254,0,3.38,57.807,355.2,,886.2,52.291,79.8
30,9/15/2020 9:54,30.2284,3.38,6.76,57.807,14,,903.7,52.597,79.9
31,9/15/2020 9:55,30.2313,3.38,5.64,57.807,35.1,,918.7,52.686,79.5
32,9/15/2020 9:56,30.2284,4.5,6.76,57.807,33.7,,936.2,52.992,80.5
33,9/15/2020 9:57,30.2284,4.5,6.76,57.85,33.7,,941.2,52.947,79.7
34,9/15/2020 9:58,30.2313,3.38,4.5,57.85,32.3,,976.2,52.992,79.2
35,9/15/2020 9:59,30.2313,3.38,9.01,57.85,21.1,,988.7,53.166,79.2
36,9/15/2020 10:00,30.2313,5.64,7.87,57.85,32.3,,976.2,53.035,78.2
37,9/15/2020 10:01,30.2313,3.38,5.64,57.85,44.9,,991.2,53.166,77.9
38,9/15/2020 10:02,30.2313,1.12,3.38,57.85,33.7,,993.7,53.341,77.9
39,9/15/2020 10:03,30.2313,2.26,4.5,57.85,5.6,,993.7,53.645,78.3
40,9/15/2020 10:04,30.2284,3.38,6.76,57.85,336.9,,1001.2,53.472,76.6
41,9/15/2020 10:05,30.2284,3.38,6.76,57.893,0,,1001.2,53.559,76.8
42,9/15/2020 10:06,30.2284,5.64,7.87,57.893,23.9,,991.2,53.472,76.6
43,9/15/2020 10:07,30.2284,3.38,5.64,57.893,355.2,,1006.2,53.559,77.2
44,9/15/2020 10:08,30.2313,2.26,4.5,57.893,328.5,,1008.7,53.472,75.5
45,9/15/2020 10:09,30.2313,3.38,5.64,57.893,1.4,,1016.2,53.602,75.8
46,9/15/2020 10:10,30.2313,2.26,4.5,57.936,335.5,,1026.2,53.645,75.2
47,9/15/2020 10:11,30.2284,2.26,5.64,57.936,297.6,,1033.7,53.645,74.5
48,9/15/2020 10:12,30.2254,1.12,3.38,57.936,311.7,,1031.2,54.082,76.3
49,9/15/2020 10:13,30.2284,2.26,5.64,57.936,335.5,,1041.2,54.212,75.2
50,9/15/2020 10:14,30.2284,3.38,5.64,57.936,9.8,,1051.2,54.3,75.1
51,9/15/2020 10:15,30.2313,1.12,3.38,57.936,320.1,,1053.7,54.561,75.5
52,9/15/2020 10:16,30.2284,1.12,2.26,57.936,341.2,,1063.7,54.909,75.6
53,9/15/2020 10:17,30.2284,1.12,3.38,57.936,342.6,,1081.2,55.256,75
54,9/15/2020 10:18,30.2284,3.38,5.64,57.979,15.4,,1088.7,55.429,75.6
55,9/15/2020 10:19,30.2284,2.26,4.5,57.979,9.8,,1111.2,55.125,74.5
56,9/15/2020 10:20,30.2284,2.26,5.64,57.979,15.4,,1118.7,55.386,75
57,9/15/2020 10:21,30.2254,3.38,10.13,57.979,351,,1141.2,55.168,73.3
58,9/15/2020 10:22,30.2225,3.38,10.13,57.979,0,,1153.7,54.909,72.5
59,9/15/2020 10:23,30.2254,3.38,5.64,57.979,348.2,,1153.7,55.038,73.4
60,9/15/2020 10:24,30.2284,4.5,10.13,58.023,16.8,,1133.7,55.429,74
61,9/15/2020 10:25,30.2284,6.76,9.01,58.023,18.3,,1126.2,54.995,72.8
62,9/15/2020 10:26,30.2284,5.64,9.01,58.023,2.8,,1136.2,54.909,73.1
63,9/15/2020 10:27,30.2313,4.5,6.76,58.023,19.7,,1136.2,54.865,73.4
64,9/15/2020 10:28,30.2284,5.64,7.87,58.023,25.3,,1138.7,54.734,72.7
65,9/15/2020 10:29,30.2284,6.76,11.25,58.023,26.7,,1153.7,54.734,72.5
66,9/15/2020 10:30,30.2313,4.5,6.76,58.023,21.1,,1171.2,54.995,73.5
67,9/15/2020 10:31,30.2284,3.38,7.87,58.023,355.2,,1168.7,54.952,72.4
68,9/15/2020 10:32,30.2313,3.38,5.64,58.066,345.4,,1183.7,55.213,72.7
69,9/15/2020 10:33,30.2313,3.38,7.87,58.066,355.2,,1188.7,54.995,71.6
70,9/15/2020 10:34,30.2313,2.26,4.5,58.066,11.2,,1178.7,55.256,71.9
71,9/15/2020 10:35,30.2313,3.38,4.5,58.066,14,,1173.7,55.558,72.4
72,9/15/2020 10:36,30.2343,3.38,5.64,58.109,11.2,,1163.7,55.69,72.1
73,9/15/2020 10:37,30.2313,4.5,7.87,58.109,349.6,,1168.7,55.515,70.5
74,9/15/2020 10:38,30.2313,2.26,5.64,58.109,342.6,,1173.7,55.213,69.8
75,9/15/2020 10:39,30.2313,2.26,5.64,58.109,349.6,,1178.7,55.819,72.6
76,9/15/2020 10:40,30.2313,4.5,6.76,58.109,345.4,,1178.7,55.386,70.1
