Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-04:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20197885)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20168088)","RH, % (LGR S/N: 20169122, SEN S/N: 20168088)"
1,10/31/2018 12:03,29.8563,6.76,13.51,44.809,182.5,,961.2,53.645,59.5
2,10/31/2018 12:13,29.8563,7.87,15.77,44.901,192.3,0,761.2,55.647,55.6
3,10/31/2018 12:23,29.8415,6.76,13.51,44.946,198,0,996.2,56.34,55.8
4,10/31/2018 12:33,29.8386,6.76,12.39,44.991,206.4,0,1323.7,55.168,54.9
5,10/31/2018 12:43,29.8327,5.64,11.25,45.036,199.4,0,1441.2,57.074,57.8
6,10/31/2018 12:53,29.8268,5.64,12.39,45.127,199.4,0,1436.2,57.117,54
7,10/31/2018 13:03,29.809,6.76,12.39,45.172,196.5,0,1451.2,57.592,53
8,10/31/2018 13:13,29.7972,5.64,11.25,45.217,209.2,0,1293.7,57.893,54.5
9,10/31/2018 13:23,29.7854,5.64,14.63,45.307,206.4,0,1126.2,58.195,55.3
10,10/31/2018 13:33,29.7943,4.5,12.39,45.399,216.2,0,433.7,56.988,55.5
11,10/31/2018 13:43,29.7825,5.64,11.25,45.489,210.6,0,416.2,56.122,57.8
12,10/31/2018 13:53,29.7736,5.64,12.39,45.534,213.4,0,431.2,56.815,59
13,10/31/2018 14:03,29.7677,6.76,15.77,45.624,206.4,0,476.2,57.42,58.6
14,10/31/2018 14:13,29.7618,5.64,14.63,45.714,213.4,0,428.7,57.936,58
15,10/31/2018 14:23,29.7559,5.64,11.25,45.806,219,0,373.7,58.411,56.5
16,10/31/2018 14:33,29.747,5.64,12.39,45.896,223.2,0,416.2,58.798,57
17,10/31/2018 14:43,29.7382,4.5,9.01,45.986,217.6,0,471.2,59.142,57.1
18,10/31/2018 14:53,29.7293,4.5,9.01,46.031,214.8,0,431.2,59.702,57.3
19,10/31/2018 15:03,29.7175,3.38,10.13,46.121,209.2,0,406.2,60.517,56.2
20,10/31/2018 15:13,29.7205,3.38,11.25,46.166,209.2,0,336.2,61.248,55.3
21,10/31/2018 15:23,29.7234,3.38,9.01,46.256,198,0,416.2,61.977,54
22,10/31/2018 15:33,29.7145,4.5,14.63,46.346,195.1,0,433.7,62.276,53.1
23,10/31/2018 15:43,29.7234,5.64,14.63,46.391,192.3,0,428.7,62.791,53.2
24,10/31/2018 15:53,29.7145,5.64,15.77,46.481,198,0,278.7,62.447,53.1
25,10/31/2018 16:03,29.7205,5.64,10.13,46.526,203.6,0,216.2,61.761,54.3
26,10/31/2018 16:13,29.7175,3.38,7.87,46.616,195.1,0,148.7,61.547,56.2
27,10/31/2018 16:23,29.7145,2.26,7.87,46.661,192.3,0,108.7,61.547,55.6
28,10/31/2018 16:33,29.7116,4.5,11.25,46.751,179.7,0,108.7,62.191,53.6
29,10/31/2018 16:43,29.7027,5.64,12.39,46.796,179.7,0,226.2,63.176,52.8
30,10/31/2018 16:53,29.6909,6.76,14.63,46.886,176.9,0,186.2,62.962,52.9
31,10/31/2018 17:03,29.6968,5.64,12.39,46.931,175.5,0,96.2,62.704,52.9
32,10/31/2018 17:13,29.6968,3.38,10.13,46.974,183.9,0,73.7,61.761,55.4
33,10/31/2018 17:23,29.6909,6.76,14.63,47.064,186.7,0,78.7,61.934,55.3
34,10/31/2018 17:33,29.6939,5.64,11.25,47.109,186.7,0,41.2,61.547,56.3
35,10/31/2018 17:43,29.6998,4.5,12.39,47.154,195.1,0,3.7,61.376,57.4
36,10/31/2018 17:53,29.6968,6.76,14.63,47.199,202.2,0,1.2,61.59,57.4
37,10/31/2018 18:03,29.6939,6.76,16.89,47.244,206.4,0,1.2,61.633,57.5
38,10/31/2018 18:13,29.7086,6.76,15.77,47.334,212,0,1.2,61.419,58.5
39,10/31/2018 18:23,29.7175,5.64,12.39,47.377,210.6,0,1.2,61.162,59.4
40,10/31/2018 18:33,29.7205,5.64,11.25,47.422,212,0,1.2,60.991,60
41,10/31/2018 18:43,29.7205,5.64,13.51,47.512,209.2,0,1.2,61.162,60.1
42,10/31/2018 18:53,29.7264,5.64,12.39,47.557,203.6,0,1.2,60.904,60.8
43,10/31/2018 19:03,29.7293,3.38,10.13,47.602,193.7,0,1.2,60.26,62.3
44,10/31/2018 19:13,29.7264,4.5,10.13,47.647,183.9,0,1.2,60.474,62.7
45,10/31/2018 19:23,29.7293,3.38,9.01,47.691,179.7,0,1.2,60.089,64.1
46,10/31/2018 19:33,29.7264,2.26,7.87,47.736,167.1,0,1.2,60.217,64.4
47,10/31/2018 19:43,29.7264,0,4.5,47.781,176.9,0,1.2,60.003,64.7
48,10/31/2018 19:53,29.7234,1.12,5.64,47.826,140.4,0,1.2,60.132,64.9
49,10/31/2018 20:03,29.7234,1.12,5.64,47.871,160,0,1.2,59.572,66.1
50,10/31/2018 20:13,29.7264,2.26,6.76,47.914,183.9,0,1.2,59.358,67.1
51,10/31/2018 20:23,29.7234,1.12,7.87,47.959,200.8,0,1.2,59.873,66.4
52,10/31/2018 20:33,29.7205,1.12,5.64,48.004,188.1,0,1.2,59.529,67.5
53,10/31/2018 20:43,29.7116,4.5,9.01,48.049,185.3,0,1.2,59.401,67.8
54,10/31/2018 20:53,29.7145,3.38,11.25,48.049,193.7,0,1.2,59.745,67.3
55,10/31/2018 21:03,29.7145,4.5,9.01,48.094,193.7,0,1.2,59.572,67.7
