date,pressure,ws,gs,soilt,wd,airt,par,rh
2017-09-01 08:19:00,29.9665333333333,7.88,18.0233333333333,16.5111111111111,6.06138560174987,13.6414814814815,1660.36666666667,57.7666666666667
2017-09-01 08:49:00,29.9724666666667,5.64,14.6366666666667,16.4951851851852,340.45,14.2,1074.53333333333,53.9666666666667
2017-09-01 09:19:00,29.9636,6.01333333333333,14.6366666666667,16.5111111111111,334.1,15.6527777777778,1482.03333333333,48
2017-09-01 09:49:00,29.9576666666667,7.50666666666667,15.7633333333333,16.5342592592593,339.520182019672,15.8357407407407,1608.7,46.2
2017-09-01 10:19:00,29.9586666666667,8.25,19.14,16.582037037037,330.665258647452,16.3438888888889,1684.53333333333,43.5333333333333
2017-09-01 10:49:00,29.9515,7.32,19.1425,16.65375,329.372585010205,17.2126388888889,1738.7,42.525
2017-09-01 11:19:00,29.9468333333333,7.87,18.39,16.7566666666667,341.173556765067,17.5424074074074,1781.2,40.6666666666667
2017-09-01 11:49:00,29.9409333333333,8.26,18.39,16.86,342.277421909004,18.2712962962963,1812.86666666667,37.9333333333333
2017-09-01 12:19:00,29.9429333333333,6.00333333333333,15.01,16.9790740740741,337.148197267588,18.7546296296296,1744.53333333333,37.3333333333333
2017-09-01 12:49:00,29.936,7.87,18.39,17.097962962963,354.266749238181,18.8892592592593,1708.7,36.1333333333333
2017-09-01 13:19:00,29.9272,6.76,14.2633333333333,17.2090740740741,15.9387772910271,18.937037037037,1683.7,39.3
2017-09-01 13:49:00,29.9222666666667,6.38666666666667,16.89,17.32,353.907042257149,19.1987037037037,1376.2,38.0333333333333
2017-09-01 14:19:00,29.9193,5.64,13.89,17.422962962963,351.004191235038,19.6111111111111,1219.53333333333,39.6333333333333
2017-09-01 14:49:00,29.9183333333333,5.26,13.51,17.517962962963,349.802355261618,19.4366666666667,1083.7,38.2333333333333
2017-09-01 15:19:00,29.9173333333333,4.88,11.2566666666667,17.6053703703704,341.230380771171,19.7375925925926,985.366666666667,39.3333333333333
2017-09-01 15:49:00,29.9183333333333,3.38,9.37666666666667,17.7007407407407,346.3292002472,19.7616666666667,912.866666666667,38.5333333333333
2017-09-01 16:19:00,29.9232666666667,3.75333333333333,13.1366666666667,17.7640740740741,0.400478251488592,18.9288888888889,497.866666666667,38.3
2017-09-01 16:49:00,29.9330666666667,3.38,8.25,17.8112962962963,1.20214924594902,17.772037037037,294.533333333333,41.0666666666667
2017-09-01 17:19:00,29.9399666666667,1.88,7.13,17.8427777777778,11.7609197194486,16.6537037037037,142.866666666667,44.8666666666667
2017-09-01 17:49:00,29.9527333333333,1.12,5.64,17.8590740740741,19.2063228309419,15.5803703703704,45.3666666666667,48.2
2017-09-01 18:19:00,29.9576666666667,1.5,6.01333333333333,17.8427777777778,357.783071664374,14.7442592592593,2.86666666666667,51.1
2017-09-01 18:49:00,29.9685333333333,1.12,5.25,17.8112962962963,352.4,13.85,1.2,53.7666666666667
2017-09-01 19:19:00,29.9862333333333,1.5,6.75666666666667,17.772037037037,335.197376993757,13.93,1.2,54.2666666666667
2017-09-01 19:49:00,29.9980333333333,1.12,6,17.7007407407407,324.3,13.3125925925926,1.2,58.3
2017-09-01 20:19:00,30.0157666666667,NA,2.63333333333333,17.6288888888889,NA,12.3161111111111,1.2,63.4333333333333
2017-09-01 20:49:00,30.0226333333333,1.12,4.88,17.557962962963,332.05,12.5333333333333,1.2,63.3
2017-09-01 21:19:00,30.0305,1.12,6.00333333333333,17.4625925925926,7.40000000000001,11.8935185185185,1.2,66.3666666666667
2017-09-01 21:49:00,30.0275666666667,1.12,1.88,17.3755555555556,28.1,9.99203703703704,1.2,75.5666666666667
2017-09-01 22:19:00,30.0315,1.12,3.38,17.2724074074074,42.8,9.01425925925926,1.2,79.8666666666667
2017-09-01 22:49:00,30.0433,NA,1.12,17.1612962962963,NA,7.17296296296296,1.2,87.8666666666667
2017-09-01 23:19:00,30.0551333333333,NA,NA,17.0344444444444,NA,6.3562962962963,1.2,92.2
2017-09-01 23:49:00,30.0591,NA,2.26,16.9151851851852,NA,5.82981481481482,1.2,92.9
2017-09-02 00:19:00,30.0561,1.12,2.82,16.7725925925926,53.3,5.01537037037037,1.2,94.9333333333333
2017-09-02 00:49:00,30.0600666666667,NA,1.87333333333333,16.6059259259259,NA,4.90407407407407,1.2,96.1666666666667
