datetime,airtemp_F,rh,par_umolm2sec,soiltemp_F
4/30/19 8:34,,,11.2,69.17
4/30/19 8:34,,,11.2,69.042
4/30/19 8:35,,,11.2,69.085
4/30/19 8:35,,,11.2,69.042
4/30/19 8:35,,,11.2,69.042
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,11.2,69.042
4/30/19 8:35,,,11.2,69.042
4/30/19 8:35,,,11.2,69.085
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,11.2,69.085
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,11.2,69.085
4/30/19 8:35,,,11.2,69.085
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,13.7,69.085
4/30/19 8:35,,,11.2,69.085
4/30/19 8:35,,,11.2,69.129
4/30/19 8:35,,,11.2,69.129
4/30/19 8:35,,,13.7,69.129
4/30/19 8:35,,,11.2,69.129
4/30/19 8:35,,,11.2,69.17
4/30/19 8:35,,,11.2,69.17
4/30/19 8:35,,,13.7,69.17
4/30/19 8:35,,,11.2,69.17
4/30/19 8:35,,,11.2,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,6.2,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,1.2,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,1.2,69.17
4/30/19 8:35,,,1.2,69.17
4/30/19 8:35,,,1.2,69.17
4/30/19 8:35,,,6.2,69.17
4/30/19 8:35,,,6.2,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,6.2,69.17
4/30/19 8:35,,,3.7,69.17
4/30/19 8:35,,,6.2,69.129
4/30/19 8:35,,,3.7,69.129
4/30/19 8:35,,,1.2,69.129
4/30/19 8:36,,,1.2,69.129
4/30/19 8:36,,,1.2,69.129
4/30/19 8:36,,,1.2,69.129
4/30/19 8:36,,,1.2,69.085
4/30/19 8:36,,,1.2,69.085
4/30/19 8:36,,,1.2,69.085
4/30/19 8:36,,,1.2,69.042
4/30/19 8:36,,,1.2,69.042
4/30/19 8:36,,,1.2,69.042
4/30/19 8:36,,,1.2,69.042
4/30/19 8:36,,,1.2,69.042
4/30/19 8:36,,,1.2,68.999
4/30/19 8:36,,,1.2,68.999
4/30/19 8:36,,,1.2,68.999
4/30/19 8:36,,,1.2,68.999
4/30/19 8:36,,,1.2,68.956
4/30/19 8:36,,,1.2,68.956
4/30/19 8:36,,,1.2,68.956
4/30/19 8:36,,,1.2,68.956
4/30/19 8:36,,,1.2,68.913
4/30/19 8:36,,,1.2,68.913
4/30/19 8:36,,,1.2,68.913
4/30/19 8:36,,,1.2,68.913
4/30/19 8:36,,,1.2,68.913
4/30/19 8:36,,,3.7,68.871
4/30/19 8:36,,,6.2,68.871
4/30/19 8:36,,,3.7,68.871
4/30/19 8:36,,,1.2,68.871
4/30/19 8:36,,,1.2,68.871
4/30/19 8:36,,,1.2,68.871
4/30/19 8:36,,,1.2,68.871
4/30/19 8:36,,,3.7,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.828
4/30/19 8:36,,,1.2,68.785
4/30/19 8:36,,,1.2,68.785
4/30/19 8:36,,,1.2,68.785
4/30/19 8:36,,,1.2,68.785
4/30/19 8:36,,,1.2,68.742
4/30/19 8:36,,,1.2,68.742
4/30/19 8:36,,,1.2,68.742
4/30/19 8:36,,,1.2,68.742
4/30/19 8:36,,,1.2,68.742
4/30/19 8:36,,,1.2,68.742
4/30/19 8:36,,,1.2,68.698
4/30/19 8:36,,,1.2,68.698
4/30/19 8:36,,,1.2,68.698
4/30/19 8:36,,,1.2,68.657
4/30/19 8:36,,,33.7,68.4
4/30/19 8:36,,,58.7,68.013
4/30/19 8:36,,,66.2,67.586
4/30/19 8:36,,,73.7,67.071
4/30/19 8:36,,,78.7,66.6
4/30/19 8:37,,,86.2,66.13
4/30/19 8:37,,,88.7,65.615
4/30/19 8:37,,,91.2,65.188
4/30/19 8:37,,,91.2,64.717
4/30/19 8:37,,,88.7,64.288
4/30/19 8:37,,,86.2,63.946
4/30/19 8:37,,,88.7,63.648
4/30/19 8:37,,,86.2,63.39
4/30/19 8:37,,,61.2,63.133
4/30/19 8:37,,,68.7,62.875
4/30/19 8:37,,,66.2,62.577
4/30/19 8:37,,,13.7,62.362
4/30/19 8:37,,,11.2,62.148
4/30/19 8:37,,,18.7,61.934
4/30/19 8:37,,,16.2,61.72
4/30/19 8:37,,,18.7,61.547
4/30/19 8:37,,,21.2,61.376
4/30/19 8:37,,,21.2,61.248
4/30/19 8:37,,,21.2,61.162
4/30/19 8:37,,,21.2,61.075
4/30/19 8:37,,,21.2,60.991
4/30/19 8:37,,,21.2,60.904
4/30/19 8:37,,,21.2,60.861
4/30/19 8:37,,,21.2,60.775
4/30/19 8:37,,,21.2,60.733
4/30/19 8:37,,,21.2,60.647
4/30/19 8:37,,,21.2,60.604
4/30/19 8:37,,,21.2,60.561
4/30/19 8:37,,,21.2,60.517
4/30/19 8:37,,,21.2,60.433
4/30/19 8:37,,,21.2,60.39
4/30/19 8:37,,,21.2,60.303
4/30/19 8:37,,,21.2,60.26
4/30/19 8:37,,,21.2,60.217
4/30/19 8:37,,,21.2,60.132
4/30/19 8:37,,,21.2,60.089
4/30/19 8:37,,,21.2,60.003
4/30/19 8:37,,,21.2,59.959
4/30/19 8:37,,,21.2,59.916
4/30/19 8:37,,,21.2,59.83
4/30/19 8:37,,,21.2,59.788
4/30/19 8:37,,,21.2,59.745
4/30/19 8:37,,,21.2,59.702
4/30/19 8:37,,,21.2,59.616
4/30/19 8:37,,,21.2,59.572
4/30/19 8:37,,,21.2,59.486
4/30/19 8:37,,,21.2,59.445
4/30/19 8:37,,,21.2,59.401
4/30/19 8:37,,,21.2,59.358
4/30/19 8:37,,,21.2,59.272
4/30/19 8:37,,,21.2,59.229
4/30/19 8:37,,,21.2,59.185
4/30/19 8:37,,,21.2,59.142
4/30/19 8:37,,,21.2,59.056
4/30/19 8:37,,,21.2,59.014
4/30/19 8:37,,,21.2,58.971
4/30/19 8:37,,,21.2,58.928
4/30/19 8:37,,,21.2,58.842
4/30/19 8:37,,,21.2,58.798
4/30/19 8:37,,,21.2,58.755
4/30/19 8:38,,,21.2,58.669
4/30/19 8:38,,,21.2,58.626
4/30/19 8:38,,,21.2,58.582
4/30/19 8:38,,,21.2,58.541
4/30/19 8:38,,,21.2,58.455
4/30/19 8:38,,,21.2,58.411
4/30/19 8:38,,,21.2,58.368
4/30/19 8:38,,,21.2,58.325
4/30/19 8:38,,,21.2,58.239
4/30/19 8:38,,,21.2,58.195
4/30/19 8:38,,,21.2,58.152
4/30/19 8:38,,,21.2,58.109
4/30/19 8:38,,,21.2,58.066
4/30/19 8:38,,,21.2,58.023
4/30/19 8:38,,,21.2,57.979
4/30/19 8:38,,,21.2,57.936
4/30/19 8:38,,,21.2,57.85
4/30/19 8:38,,,21.2,57.807
4/30/19 8:38,,,21.2,57.765
4/30/19 8:38,,,21.2,57.722
4/30/19 8:38,,,21.2,57.679
4/30/19 8:38,,,21.2,57.592
4/30/19 8:38,,,21.2,57.549
4/30/19 8:38,,,21.2,57.506
4/30/19 8:38,,,21.2,57.463
4/30/19 8:38,,,21.2,57.42
4/30/19 8:38,,,21.2,57.376
4/30/19 8:38,,,21.2,57.29
4/30/19 8:38,,,21.2,57.247
4/30/19 8:38,,,21.2,57.204
4/30/19 8:38,,,21.2,57.16
4/30/19 8:38,,,21.2,57.117
4/30/19 8:38,,,21.2,57.074
4/30/19 8:38,,,21.2,57.031
4/30/19 8:38,,,21.2,56.988
4/30/19 8:38,,,21.2,56.944
4/30/19 8:38,,,21.2,56.858
4/30/19 8:38,,,21.2,56.815
4/30/19 8:38,,,21.2,56.772
4/30/19 8:38,,,21.2,56.728
4/30/19 8:38,,,21.2,56.685
4/30/19 8:38,,,21.2,56.642
4/30/19 8:38,,,21.2,56.642
4/30/19 8:38,,,21.2,56.556
4/30/19 8:38,,,21.2,56.512
4/30/19 8:38,,,21.2,56.512
4/30/19 8:38,,,21.2,56.469
4/30/19 8:38,,,21.2,56.426
4/30/19 8:38,,,21.2,56.383
4/30/19 8:38,,,21.2,56.34
4/30/19 8:38,,,21.2,56.295
4/30/19 8:38,,,21.2,56.251
4/30/19 8:38,,,21.2,56.208
4/30/19 8:38,,,21.2,56.165
4/30/19 8:38,,,21.2,56.122
4/30/19 8:38,,,21.2,56.122
4/30/19 8:38,,,21.2,56.079
4/30/19 8:38,,,21.2,55.992
4/30/19 8:38,,,21.2,55.992
4/30/19 8:38,,,21.2,55.949
4/30/19 8:39,,,21.2,55.906
4/30/19 8:39,,,21.2,55.863
4/30/19 8:39,,,21.2,55.819
4/30/19 8:39,,,21.2,55.776
4/30/19 8:39,,,21.2,55.733
4/30/19 8:39,,,21.2,55.69
4/30/19 8:39,,,21.2,55.647
4/30/19 8:39,,,23.7,55.602
4/30/19 8:39,,,23.7,55.602
4/30/19 8:39,,,23.7,55.558
4/30/19 8:39,,,23.7,55.515
4/30/19 8:39,,,23.7,55.472
4/30/19 8:39,,,23.7,55.429
4/30/19 8:39,,,23.7,55.386
4/30/19 8:39,,,23.7,55.342
4/30/19 8:39,,,23.7,55.299
4/30/19 8:39,,,23.7,55.256
4/30/19 8:39,,,23.7,55.256
4/30/19 8:39,,,23.7,55.213
4/30/19 8:39,,,23.7,55.168
4/30/19 8:39,,,23.7,55.125
4/30/19 8:39,,,23.7,55.081
